observableId	preequilibrationConditionId	simulationConditionId	measurement	time	observableParameters	noiseParameters	datasetId	replicateId
obsE		C1	0.964697787325689	0	offset_E	0.1	data1	1
obsE		C1	0.00186374025143678	10	offset_E	0.000203653384410275	data1	1
obsE		C1	0.00188636101841068	20	offset_E	0.000205744112105155	data1	1
obsE		C1	0.00233614506230589	30	offset_E	0.000207878100788836	data1	1
obsE		C1	0.00206715835008135	40	offset_E	0.000210056671940852	data1	1
obsE		C1	0.00221021020132198	50	offset_E	0.00021228135639424	data1	1
obsE		C1	0.00196867226560936	60	offset_E	0.000214553551894864	data1	1
obsE		C1	0.00217715381954443	70	offset_E	0.000216875452684994	data1	1
obsE		C1	0.00213865205226641	80	offset_E	0.000219247933082305	data1	1
obsE		C1	0.00240641967893507	90	offset_E	0.000221672063291721	data1	1
obsE		C1	0.0023948228030989	100	offset_E	0.000224150387757051	data1	1
obsS		C1	113.781588309172	0		10	data1	1
obsS		C1	83.1384076532776	10		9.80050641046529	data1	1
obsS		C1	104.912417818496	20		9.70071320240182	data1	1
obsS		C1	112.119141021645	30		9.60092215564999	data1	1
obsS		C1	92.6383091080768	40		9.5011333097681	data1	1
obsS		C1	98.7513483439593	50		9.40134671104188	data1	1
obsS		C1	94.057075427258	60		9.30156239649187	data1	1
obsS		C1	89.4908257558873	70		9.20178042672856	data1	1
obsS		C1	84.627595654931	80		9.10200085536176	data1	1
obsS		C1	82.1520619476194	90		9.00222373485913	data1	1
obsS		C1	88.1924659256299	100		8.90244912041603	data1	1
obsES		C1	0	0		0	data1	1
obsES		C1	1.10604399038398	10		0.0997963466155898	data1	1
obsES		C1	1.00439989918785	20		0.0997942558878949	data1	1
obsES		C1	0.913004692523219	30		0.0997921218992112	data1	1
obsES		C1	0.985945873770645	40		0.0997899433280592	data1	1
obsES		C1	0.989063111755187	50		0.0997877186436058	data1	1
obsES		C1	0.877464447837158	60		0.0997854464481052	data1	1
obsES		C1	1.09075742338512	70		0.099783124547315	data1	1
obsES		C1	0.851384583126785	80		0.0997807520669177	data1	1
obsES		C1	0.799284617580993	90		0.0997783279367083	data1	1
obsES		C1	1.2087354588275	100		0.099775849612243	data1	1
obsP		C1	0	0		0	data1	1
obsP		C1	1.04516720734137	10		0.0996972429194173	data1	1
obsP		C1	1.87209775395019	20		0.199492541710577	data1	1
obsP		C1	3.08935522029145	30		0.29928572245109	data1	1
obsP		C1	4.3027719514059	40		0.399076746904131	data1	1
obsP		C1	4.37290212489326	50		0.498865570314804	data1	1
obsP		C1	6.90625840045844	60		0.598652157060312	data1	1
obsP		C1	7.00106544273794	70		0.698436448724418	data1	1
obsP		C1	9.70007435210368	80		0.798218392571612	data1	1
obsP		C1	10.9382131931861	90		0.897997937204449	data1	1
obsP		C1	10.4213636288695	100		0.99777502997202	data1	1
obsE		C1	0.764879991723968	0	offset_E	0.1	data1	2
obsE		C1	0.00213510853096598	10	offset_E	0.000203653384410275	data1	2
obsE		C1	0.00219542167131676	20	offset_E	0.000205744112105155	data1	2
obsE		C1	0.00204173566462774	30	offset_E	0.000207878100788836	data1	2
obsE		C1	0.00175894090205507	40	offset_E	0.000210056671940852	data1	2
obsE		C1	0.00188556315099246	50	offset_E	0.00021228135639424	data1	2
obsE		C1	0.00213503960534447	60	offset_E	0.000214553551894864	data1	2
obsE		C1	0.00199523966889886	70	offset_E	0.000216875452684994	data1	2
